"","tracking_id","Gene_Set","m","sd"
"496","GRMZM2G029249","filtered_set",74.0027276797391,349.194343031197
"497","GRMZM2G148744","filtered_set",472.895309243478,379.877057706298
"498","GRMZM2G030016","filtered_set",713.774041013044,395.490291185104
"499","AC217050.4_FG006","filtered_set",681.657842161,475.647058649045
"500","GRMZM2G154628","filtered_set",184.998241128913,421.768232622259
"504","GRMZM2G169372","filtered_set",235.300470723304,406.074722764475
"508","GRMZM2G378547","filtered_set",76.6087888466522,344.457825888975
"509","GRMZM2G130348","filtered_set",91.2014035566957,341.588403037148
"511","GRMZM2G092578","filtered_set",504.940002755087,454.519869193754
"512","GRMZM2G121075","filtered_set",392.240684896826,408.845103036952
"513","GRMZM2G107711","filtered_set",180.269057047652,359.744861205754
"516","GRMZM2G092296","filtered_set",628.587943469565,345.685260287083
"518","GRMZM2G004057","filtered_set",483.478397076957,407.722660974135
"519","GRMZM2G012263","filtered_set",72.5419154784348,340.018249607399
"520","GRMZM2G410152","filtered_set",125.255198405609,375.286360868402
"522","GRMZM2G306105","filtered_set",71.0410416421304,339.439943304126
"524","GRMZM2G015605","filtered_set",221.354486078391,359.409354071335
"525","GRMZM2G153488","filtered_set",478.509377388565,459.293095137459
"526","GRMZM2G134797","filtered_set",311.721236246217,370.610778795974
"527","GRMZM2G096475","filtered_set",101.707981872174,338.090468349077
"528","GRMZM5G898755","filtered_set",243.477696360609,419.112634538001
"529","GRMZM2G099352","filtered_set",444.464767114652,354.964677910876
"530","GRMZM2G165208","filtered_set",503.47287056813,395.251975617074
"531","GRMZM2G314769","filtered_set",74.6830255163478,332.509477845169
"532","AC210013.4_FG019","filtered_set",442.289625105783,395.25194094013
"533","GRMZM5G803735","filtered_set",496.465275331739,387.037645220507
"534","GRMZM2G139797","filtered_set",135.807791143435,386.20623900385
"537","GRMZM2G091338","filtered_set",70.3600312536087,331.211074080218
"539","GRMZM2G072280","filtered_set",81.0258523303478,328.630336784842
"540","GRMZM2G108766","filtered_set",196.91753566987,380.697095069215
"541","GRMZM2G457309","filtered_set",141.417081870957,391.405087782087
"543","GRMZM2G113033","filtered_set",93.6524813648261,335.103875587305
