,tracking_id,Syntany,m,sd
1636,GRMZM2G013461,Syntenic,2465.374217,1493.690119
1637,GRMZM2G013465,Syntenic,1.151839358,4.072220999
1638,GRMZM2G013471,Syntenic,6.774405475,12.29908919
1639,GRMZM2G013478,Syntenic,325.6686551,360.1660171
1640,GRMZM2G013519,Non-Syntenic,7.811213347,43.55501206
1641,GRMZM2G013555,Syntenic,0.73329756,2.027594008
1642,GRMZM2G013583,NA,44.67134582,55.28544938
1643,GRMZM2G013600,Syntenic,25.29857743,81.73580991
1644,GRMZM2G013607,Syntenic,89.61477901,82.38835038
1645,GRMZM2G013612,Non-Syntenic,0.132219526,0.759543351
1646,GRMZM2G013619,Syntenic,728.5470779,498.3899592
1647,GRMZM2G013625,Syntenic,0.228182006,1.31080583
1648,GRMZM2G013634,Syntenic,12.84380934,14.18509744
1649,GRMZM2G013639,Syntenic,150.5677344,98.33993734
1650,GRMZM2G013652,Syntenic,4705.945282,3386.687008
1651,GRMZM2G013671,Syntenic,10.14417986,45.28428427
1652,GRMZM2G013677,Syntenic,28.56025102,60.06469719
1653,GRMZM2G013695,Syntenic,122.3283221,561.2589698
1654,GRMZM2G013704,Syntenic,85.00270566,127.0191592
1655,GRMZM2G013724,Non-Syntenic,83.15051041,304.7086624
1656,GRMZM2G013750,Syntenic,1335.149154,1039.158202
1657,GRMZM2G013765,Syntenic,6.255567113,8.425360256
1658,GRMZM2G013773,NA,122.0875444,135.1148998
1659,GRMZM2G013781,Syntenic,5.079089475,24.1411211
1660,GRMZM2G013783,Syntenic,21.18313847,23.46567354
1661,GRMZM2G013790,Syntenic,0.42469962,1.587214479
1662,GRMZM2G013794,Non-Syntenic,34.46105802,36.98695275
1663,GRMZM2G013798,Non-Syntenic,46.46863228,196.0076749
1664,GRMZM2G013811,Syntenic,212.8549001,382.1797905
1665,GRMZM2G013814,Syntenic,86.18742888,62.87620039
1666,GRMZM2G013821,Syntenic,2239.892839,3944.65311
1667,GRMZM2G013853,Syntenic,6.223151965,22.71884617
1668,GRMZM2G013890,Syntenic,450.4035327,253.9147062
1669,GRMZM2G013908,Non-Syntenic,48.83404844,44.90227512
1670,GRMZM2G013936,Non-Syntenic,1.842630068,4.28811347
1671,GRMZM2G013957,Syntenic,56.91099908,141.9732705
1672,GRMZM2G013967,NA,43.67512991,141.2933513
1673,GRMZM2G013970,Syntenic,4.36361864,10.95405343
1674,GRMZM2G013981,Syntenic,1.285335816,3.484783494
1675,GRMZM2G013986,Syntenic,159.0948666,264.0182944
1676,GRMZM2G014004,Non-Syntenic,190.2023737,108.9200091
1677,GRMZM2G014069,Syntenic,6.415005785,36.85140261
1678,GRMZM2G014076,Syntenic,682.0628267,495.8828351
1679,GRMZM2G014089,Syntenic,0.338070262,1.827221944
1680,GRMZM2G014099,Syntenic,22.59741063,106.7712688
1681,GRMZM2G014106,Syntenic,5.239141697,9.522850666
1682,GRMZM2G014116,Syntenic,385.8153627,295.225952
1683,GRMZM2G014119,Syntenic,99.10535435,254.6821857
1684,GRMZM2G014136,Syntenic,106.7262923,117.5333755
1685,GRMZM2G014154,Syntenic,50.58420738,160.9952937
1686,GRMZM2G014170,Syntenic,27.56332527,32.64955255
1687,GRMZM2G014180,Non-Syntenic,366.6902987,249.6481559
1688,GRMZM2G014212,Non-Syntenic,1.513466638,4.322196286
1689,GRMZM2G014240,Syntenic,1422.976641,1123.650285
1690,GRMZM2G014276,Syntenic,24.68440116,33.62181608
1691,GRMZM2G014282,Syntenic,1.945185654,8.231925287
1692,GRMZM2G014295,Syntenic,49.55681458,123.1612483
1693,GRMZM2G014303,Syntenic,56.15202398,143.0202072
1694,GRMZM2G014313,Syntenic,636.930543,400.7143449
1695,GRMZM2G014323,Non-Syntenic,0.906586758,5.207944427
1696,GRMZM2G014329,Non-Syntenic,0.197335688,0.839209899
1697,GRMZM2G014341,Syntenic,40.6396293,49.02354004
1698,GRMZM2G014346,NA,0.105264667,0.604699474
1699,GRMZM2G014366,Non-Syntenic,3.577955196,11.05637713
1700,GRMZM2G014367,Non-Syntenic,3.629033041,14.60633064
1701,GRMZM2G014376,Syntenic,863.3724244,605.6333355
1702,GRMZM2G014382,Non-Syntenic,2493.481858,1236.034656
1703,GRMZM2G014387,Syntenic,159.5940735,165.7193058
1704,GRMZM2G014395,Syntenic,25.63381754,65.53231685
1705,GRMZM2G014397,Syntenic,858.5644028,448.3980707
1706,GRMZM2G014400,Syntenic,23.68909358,42.6042564
1707,GRMZM2G014419,Syntenic,31.1911697,66.52059297
1708,GRMZM2G014441,Syntenic,0.360777841,1.534280694
1709,GRMZM2G014452,Syntenic,3.452476523,5.308279696
1710,GRMZM2G014454,Syntenic,4.998521503,15.99938927
1711,GRMZM2G014499,Syntenic,2.947154265,5.92305964
1712,GRMZM2G014508,NA,128.1003724,116.7513274
1713,GRMZM2G014526,Syntenic,18.1056809,72.6494126
1714,GRMZM2G014558,Syntenic,15.23126983,48.21670761
1715,GRMZM2G014577,Non-Syntenic,106.6087914,112.3515898
1716,GRMZM2G014580,Syntenic,0.275334429,1.581675876
1717,GRMZM2G014612,Syntenic,11.19830365,12.72435241
1718,GRMZM2G014618,Syntenic,0.880720572,5.059354502
1719,GRMZM2G014651,NA,70.82644252,406.8669361
1720,GRMZM2G014676,Syntenic,1940.700558,1542.612552
1721,GRMZM2G014705,Syntenic,243.6829361,653.6541753
1722,GRMZM2G014709,Non-Syntenic,9.64438211,13.18322476
1723,GRMZM2G014720,Syntenic,96.1520107,109.7985635
1724,GRMZM2G014729,Syntenic,3.145439468,13.10319166
1725,GRMZM2G014750,Syntenic,1851.485107,1377.241516
1726,GRMZM2G014788,Syntenic,476.4019999,292.1110064
1727,GRMZM2G014793,Syntenic,14.89321127,21.80824558
1728,GRMZM2G014796,Non-Syntenic,245.2088222,213.039113
1729,GRMZM2G014805,Non-Syntenic,655.6705243,357.9683765
1730,GRMZM2G014813,Non-Syntenic,0.037733222,0.216760857
1731,GRMZM2G014826,Syntenic,12.30199319,20.16840406
1732,GRMZM2G014829,NA,3.739962127,21.48444674
1733,GRMZM2G014832,Syntenic,20.18349476,53.76402516
1734,GRMZM2G014833,Syntenic,1.817849889,7.402209803
